Article, Impressions, Clicks
109540,2600 ,146
109520,100773,4263
109525,76925, 4118
109521,29510, 1445
109511,85776, 4783
109513,55242, 3059
109503,85883, 5235
109484,7054 ,228
109453,31004, 1375
109519,9139 ,142
109535,32046, 1358
109512,78891, 3279
109529,65667, 1784
109531,50039, 1560
109546,24723, 683
109515,75869, 1290
109494,35000, 1630
109528,68797, 3809
109552,2608 ,79
109526,52310, 2061
109523,42419, 1304
109530,64358, 2322
109542,39603, 1500
109505,703,  3
109532,53595, 3610
109538,38551, 1870
109498,46874, 1475
109514,88230, 4518
109548,21270, 402
109550,13457, 263
109544,28956, 1211
109527,32161, 1908
109417,39981, 2020
109501,28185, 838
109473,65147, 2487
109492,22267, 332
109545,25203, 518
109509,56790, 2210
109533,53700, 1123
109543,34072, 682
109495,74289, 2177
109534,55818, 2682
109502,37154, 1550
109522,38045, 492
109536,45722, 694
109508,65190, 3694
109506,44492, 1616
109547,22754, 1044
109510,111843, 5567
109524,80311, 3935
